date,epu_index,GC=F,^NDX
2021-05-14,100.11,,
2021-05-17,128.94,,
2021-05-18,96.41,,
2021-05-19,147.69,,
2021-05-20,189.22,,
2021-05-21,108.94,,
2021-05-24,183.43,,
2021-05-25,145.6,,
2021-05-26,71.66,,
2021-05-27,70.25,,
2021-05-28,171.86,,
2021-06-01,176.43,,
2021-06-02,83.31,,
2021-06-03,109.44,,
2021-06-04,68,,
2021-06-07,111.43,,
2021-06-08,109.81,,
2021-06-09,131.85,,
2021-06-10,122.88,,
2021-06-11,97.74,,
2021-06-14,117.23,,
2021-06-15,109.37,,
2021-06-16,104.83,,
2021-06-17,94.44,,
2021-06-18,142.32,,
2021-06-21,174.11,,
2021-06-22,100,,
2021-06-23,60.28,,
2021-06-24,113.04,,
2021-06-25,92.88,,
2021-06-28,168.47,,
2021-06-29,74.51,,
2021-06-30,133.65,,
2021-07-01,82.66,,
2021-07-02,133.09,,
2021-07-06,199.58,,
2021-07-07,57.23,,
2021-07-08,67.69,,
2021-07-09,84.3,,
2021-07-12,144.11,,
2021-07-13,192.35,,
2021-07-14,98.68,,
2021-07-15,153.82,,
2021-07-16,140.71,,
2021-07-19,103.99,,
2021-07-20,130.37,,
2021-07-21,185.19,,
2021-07-22,91.1,,
2021-07-23,138.66,,
2021-07-26,125.45,,
2021-07-27,132.55,,
2021-07-28,152.66,,
2021-07-29,144.4,,
2021-07-30,133.44,,
2021-08-02,124.58,,
2021-08-03,77.81,,
2021-08-04,67.39,,
2021-08-05,179.01,,
2021-08-06,107.12,,
2021-08-09,134.96,,
2021-08-10,399.87,,
2021-08-11,96.07,,
2021-08-12,90.39,,
2021-08-13,101.4,,
2021-08-16,131.18,,
2021-08-17,113.72,,
2021-08-18,113.23,,
2021-08-19,78.58,,
2021-08-20,85.35,,
2021-08-23,177.96,,
2021-08-24,86.77,,
2021-08-25,74.18,,
2021-08-26,54.9,,
2021-08-27,69.52,,
2021-08-30,77.75,,
2021-08-31,166.77,,
2021-09-01,88.74,,
2021-09-02,72.75,,
2021-09-03,88.32,,
2021-09-07,165.86,,
2021-09-08,118.66,,
2021-09-09,56.89,,
2021-09-10,72.22,,
2021-09-13,209.02,,
2021-09-14,135.76,,
2021-09-15,106.93,,
2021-09-16,44.76,,
2021-09-17,83.45,,
2021-09-20,159.31,,
2021-09-21,196.08,,
2021-09-22,98.64,,
2021-09-23,79.1,,
2021-09-24,86.86,,
2021-09-27,243.51,,
2021-09-28,126.3,,
2021-09-29,104.63,,
2021-09-30,142.53,,
2021-10-01,88.83,,
2021-10-04,148.03,,
2021-10-05,97.14,,
2021-10-06,145.53,,
2021-10-07,100.93,,
2021-10-08,96.69,,
2021-10-11,85.57,,
2021-10-12,90.52,,
2021-10-13,111.12,,
2021-10-14,94.34,,
2021-10-15,65.19,,
2021-10-18,159.77,,
2021-10-19,73.95,,
2021-10-20,59.85,,
2021-10-21,69.73,,
2021-10-22,101.73,,
2021-10-25,102.62,,
2021-10-26,99.45,,
2021-10-27,63.73,,
2021-10-28,90.49,,
2021-10-29,77.35,,
2021-11-01,136.17,,
2021-11-02,110.75,,
2021-11-03,188.57,,
2021-11-04,156.8,,
2021-11-05,211.53,,
2021-11-08,363.38,,
2021-11-09,149.84,,
2021-11-10,39,,
2021-11-11,65.66,,
2021-11-12,202.74,,
2021-11-15,107.9,,
2021-11-16,112.32,,
2021-11-17,114.88,,
2021-11-18,141.8,,
2021-11-19,120.37,,
2021-11-22,92.12,,
2021-11-23,98.64,,
2021-11-24,131.12,,
2021-11-26,57.97,,
2021-11-29,103.8,,
2021-11-30,117.24,,
2021-12-01,108.42,,
2021-12-02,90.4,,
2021-12-03,219.57,,
2021-12-06,90.05,,
2021-12-07,121.78,,
2021-12-08,94.23,,
2021-12-09,59.47,,
2021-12-10,78.93,,
2021-12-13,214.47,,
2021-12-14,76.16,,
2021-12-15,103.8,,
2021-12-16,152.15,,
2021-12-17,130.93,,
2021-12-20,118.72,,
2021-12-21,164.17,,
2021-12-22,130.79,,
2021-12-23,171.54,,
2021-12-27,179.41,,
2021-12-28,113.84,,
2021-12-29,84.18,,
2021-12-30,131.66,,
2021-12-31,132.09,,
2022-01-03,146.6,,
2022-01-04,192.08,,
2022-01-05,111.08,,
2022-01-06,235.1,,
2022-01-07,57.41,,
2022-01-10,120.25,,
2022-01-11,77.55,,
2022-01-12,91.97,,
2022-01-13,57.28,,
2022-01-14,73.63,,
2022-01-18,77,,
2022-01-19,71.25,,
2022-01-20,72.93,,
2022-01-21,126.04,,
2022-01-24,273.48,,
2022-01-25,190.88,,
2022-01-26,146.78,,
2022-01-27,164.89,,
2022-01-28,129.34,,
2022-01-31,184.81,,
2022-02-01,143.53,,
2022-02-02,101.01,,
2022-02-03,93.56,,
2022-02-04,171.57,,
2022-02-07,97.27,,
2022-02-08,115.82,,
2022-02-09,83.48,,
2022-02-10,84.38,,
2022-02-11,67.68,,
2022-02-14,201.81,,
2022-02-15,109.46,,
2022-02-16,73.91,,
2022-02-17,107.1,,
2022-02-18,180.25,,
2022-02-22,180.27,,
2022-02-23,89.64,,
2022-02-24,156.68,,
2022-02-25,161.59,,
2022-02-28,167.06,,
2022-03-01,188.05,,
2022-03-02,134.88,,
2022-03-03,204.82,,
2022-03-04,219.09,,
2022-03-07,164.7,,
2022-03-08,165.06,,
2022-03-09,142.59,,
2022-03-10,150.53,,
2022-03-11,232.96,,
2022-03-14,222.54,,
2022-03-15,154.33,,
2022-03-16,216.66,,
2022-03-17,137.82,,
2022-03-18,171.27,,
2022-03-21,239.83,,
2022-03-22,137.53,,
2022-03-23,116.56,,
2022-03-24,128.23,,
2022-03-25,209.01,,
2022-03-28,322.1,,
2022-03-29,193.93,,
2022-03-30,105.19,,
2022-03-31,81.85,,
2022-04-01,114.29,,
2022-04-04,115.67,,
2022-04-05,126.89,,
2022-04-06,168.21,,
2022-04-07,171.04,,
2022-04-08,124.74,,
2022-04-11,241.25,,
2022-04-12,103.12,,
2022-04-13,90.43,,
2022-04-14,142.29,,
2022-04-18,93.03,,
2022-04-19,276.08,,
2022-04-20,95.07,,
2022-04-21,89.05,,
2022-04-22,148.56,,
2022-04-25,126.9,,
2022-04-26,130.06,,
2022-04-27,69.39,,
2022-04-28,80.21,,
2022-04-29,126.12,,
2022-05-02,99.33,,
2022-05-03,103.64,,
2022-05-04,123.78,,
2022-05-05,87.92,,
2022-05-06,212.5,,
2022-05-09,97.81,,
2022-05-10,135.75,,
2022-05-11,102.02,,
2022-05-12,144.73,,
2022-05-13,140,,
2022-05-16,124.37,,
2022-05-17,101.23,,
2022-05-18,97.83,,
2022-05-19,157.59,,
2022-05-20,185.12,,
2022-05-23,135.77,,
2022-05-24,135.79,,
2022-05-25,100.89,,
2022-05-26,132.56,,
2022-05-27,145.02,,
2022-05-31,72.9,,
2022-06-01,161.66,,
2022-06-02,144.13,,
2022-06-03,163.85,,
2022-06-06,127.27,,
2022-06-07,167.65,,
2022-06-08,110.13,,
2022-06-09,112.11,,
2022-06-10,93.65,,
2022-06-13,95.37,,
2022-06-14,120.62,,
2022-06-15,140.82,,
2022-06-16,189.54,,
2022-06-17,108.29,,
2022-06-21,140.11,,
2022-06-22,96.97,,
2022-06-23,96.96,,
2022-06-24,111.86,,
2022-06-27,140.94,,
2022-06-28,129.96,,
2022-06-29,135.33,,
2022-06-30,158.37,,
2022-07-01,177.73,,
2022-07-05,116.59,,
2022-07-06,91.52,,
2022-07-07,93.67,,
2022-07-08,104.33,,
2022-07-11,200.3,,
2022-07-12,126.67,,
2022-07-13,52.82,,
2022-07-14,203.03,,
2022-07-15,210.77,,
2022-07-18,182.94,,
2022-07-19,177.18,,
2022-07-20,113.33,,
2022-07-21,132.76,,
2022-07-22,138.82,,
2022-07-25,120.62,,
2022-07-26,94.68,,
2022-07-27,181.99,,
2022-07-28,111,,
2022-07-29,130.23,,
2022-08-01,141.32,,
2022-08-02,96.66,,
2022-08-03,115.69,,
2022-08-04,78.43,,
2022-08-05,107.43,,
2022-08-08,227.88,,
2022-08-09,189.05,,
2022-08-10,84.3,,
2022-08-11,99.36,,
2022-08-12,48.55,,
2022-08-15,145.63,,
2022-08-16,103.94,,
2022-08-17,75.77,,
2022-08-18,92.67,,
2022-08-19,98.49,,
2022-08-22,169.02,,
2022-08-23,93.31,,
2022-08-24,137.29,,
2022-08-25,66.37,,
2022-08-26,121.88,,
2022-08-29,97.52,,
2022-08-30,83.23,,
2022-08-31,126.46,,
2022-09-01,75.93,,
2022-09-02,65.23,,
2022-09-06,91.55,,
2022-09-07,87.66,,
2022-09-08,47.62,,
2022-09-09,66.03,,
2022-09-12,162.37,,
2022-09-13,95.35,,
2022-09-14,116.73,,
2022-09-15,118.58,,
2022-09-16,123.3,,
2022-09-19,65.09,,
2022-09-20,78.61,,
2022-09-21,70.88,,
2022-09-22,139.2,,
2022-09-23,133.87,,
2022-09-26,85.96,,
2022-09-27,194.98,,
2022-09-28,155.79,,
2022-09-29,93.12,,
2022-09-30,192.84,,
2022-10-03,146.03,,
2022-10-04,148.79,,
2022-10-05,153.24,,
2022-10-06,168.97,,
2022-10-07,139.82,,
2022-10-10,181.4,,
2022-10-11,155.85,,
2022-10-12,186.85,,
2022-10-13,169.02,,
2022-10-14,180.93,,
2022-10-17,129.16,,
2022-10-18,73.35,,
2022-10-19,70.66,,
2022-10-20,78.35,,
2022-10-21,107.34,,
2022-10-24,168.29,,
2022-10-25,104.95,,
2022-10-26,84.81,,
2022-10-27,150.79,,
2022-10-28,204.29,,
2022-10-31,161.13,,
2022-11-01,127.48,,
2022-11-02,98.2,,
2022-11-03,140.73,,
2022-11-04,122.07,,
2022-11-07,245.52,,
2022-11-08,123.6,,
2022-11-09,146.6,,
2022-11-10,119.57,,
2022-11-11,183.98,,
2022-11-14,215.52,,
2022-11-15,95.09,,
